p_id,turn,sent_no,role,text,chars,esconv,note
P15,1,-,Prompt,티피야 내가 지금 콘치즈를 만들어 먹으려고 하는데 옥수수도 있고 치즈도 있는데 마요네즈가 없어. 이럴 때는 어떻게 대체할 수 있을까?,74,-,-
P15,1,1,Response,물론이지!,5,,
P15,1,2,Response,😄 마요네즈 없이도 콘치즈 꽤 맛있게 만들 수 있어.,29,,
P15,1,3,Response,집에 있는 재료에 따라 추천하면:,18,,
P15,1,4,Response,버터 + 우유 ⭐⭐⭐⭐⭐ (제일 추천!),22,,
P15,1,5,Response,버터 1큰술 + 우유 1~2큰술을 옥수수와 먼저 볶아.,30,,
P15,1,6,Response,"소금 약간, 설탕 ½~1작은술 넣고 치즈를 듬뿍 올려 녹이면 고소한 콘치즈가 돼.",45,,
P15,1,7,Response,마요네즈보다 조금 덜 꾸덕하지만 풍미는 정말 좋아.,28,,
P15,1,8,Response,생크림이나 휘핑크림,10,,
P15,1,9,Response,있다면 우유보다 더 진하고 부드러운 맛이 나.,25,,
P15,1,10,Response,치즈와도 잘 어울려.,11,,
P15,1,11,Response,크림치즈,4,,
P15,1,12,Response,우유 조금과 함께 섞어서 녹이면 꾸덕한 콘치즈 느낌을 낼 수 있어.,37,,
P15,1,13,Response,플레인 요거트,7,,
P15,1,14,Response,약간 새콤한 맛이 나지만 의외로 괜찮아.,22,,
P15,1,15,Response,"단, 너무 많이 넣으면 물이 생길 수 있으니 1~2큰술 정도만.",35,,
P15,1,16,Response,아예 마요네즈 없이,10,,
P15,1,17,Response,옥수수 + 버터 + 소금 약간 + 설탕 약간 + 모짜렐라 치즈만 넣어도 맛있어.,44,,
P15,1,18,Response,"여기에 후추 조금, 파슬리 있으면 더 맛있고!",25,,
P15,1,19,Response,내가 추천하는 레시피,11,,
P15,1,20,Response,옥수수 1캔(또는 한 공기 분량),18,,
P15,1,21,Response,버터 1큰술,6,,
P15,1,22,Response,우유 2큰술,6,,
P15,1,23,Response,설탕 1작은술,7,,
P15,1,24,Response,소금 한 꼬집,7,,
P15,1,25,Response,모짜렐라 치즈 듬뿍,10,,
P15,1,26,Response,"버터에 옥수수를 볶고 → 우유, 설탕, 소금을 넣어 살짝 졸인 뒤 → 치즈를 올려 전자레인지나 팬에서 녹이면 끝!",63,,
P15,1,27,Response,"혹시 집에 버터, 우유, 설탕은 있어?",21,,
P15,1,28,Response,있으면 거의 마요네즈 없이도 맛있는 콘치즈를 만들 수 있어.,33,,
P15,1,29,Response,😊,1,,
P15,2,-,Prompt,그러면 콘치즈에 어떤 게 어울릴까?,19,-,-
P15,2,1,Response,콘치즈 만들었다면 같이 먹기 좋은 조합이 정말 많아! 😋,31,,
P15,2,2,Response,🍗 든든하게 먹고 싶다면,13,,
P15,2,3,Response,치킨: 콘치즈랑 최고의 조합!,16,,
P15,2,4,Response,소시지: 칼집 내서 구워 같이 먹으면 술집 느낌이 나.,30,,
P15,2,5,Response,베이컨: 바삭하게 구워 올려도 맛있고 같이 먹어도 좋아.,31,,
P15,2,6,Response,스팸: 노릇하게 구우면 단짠 조합이 최고야.,24,,
P15,2,7,Response,🥖 간단하게 먹고 싶다면,13,,
P15,2,8,Response,식빵이나 바게트: 콘치즈를 올려 먹으면 콘치즈 토스트가 돼.,33,,
P15,2,9,Response,크래커: 찍어 먹어도 맛있어.,16,,
P15,2,10,Response,🍚 밥이랑도 의외로 잘 어울려,16,,
P15,2,11,Response,볶음밥,3,,
P15,2,12,Response,김치볶음밥,5,,
P15,2,13,Response,오므라이스,5,,
P15,2,14,Response,🍟 사이드 메뉴,8,,
P15,2,15,Response,감자튀김,4,,
P15,2,16,Response,해시브라운,5,,
P15,2,17,Response,치킨너겟,4,,
P15,2,18,Response,양파링,3,,
P15,2,19,Response,🌶️ 느끼함을 잡아주는 음식,15,,
P15,2,20,Response,김치,2,,
P15,2,21,Response,피클,2,,
