utterance_id,participant_id,turn_index,sentence_index,prev_assistant_turn,text,speech_act_coder1,emotion_surface_coder1,note
P06-t01-s01,P06,1,1,,내가 이번주 금토일 강릉가거든,S,NONE,일정 계획 정보 제공.
P06-t01-s02,P06,1,2,,근데 성남시외버스터미널에서 버스 타고 가는데 여기 서울 사람들이 강릉에서 돌아오는거 차 완전 막힌다고 나 죽었다는데 어떡하냐,Q,EXP,금요일에 서울에서 강릉까지 가게되면 오래걸리기 때문에 다른 사람이 본인에게 '죽었다'라고 말함. '어떡하냐'는 해결 방안 제안을 받고 싶은 동시에 걱정되는 간접적인 감정도 표현하고 있음.
P06-t01-s03,P06,1,3,,수목월 야근 확정인데 나 죽으면 어떡하냐 진짜,EXPR,EXP,야근이 확정이라 강릉까지 너무 늦게가면 어떻게 해야할지 걱정 + 진짜 어떻게 해야하는지 해결 받고 싶음. 근데 '걱정' 감정이 더 큰 듯.
P06-t02-s01,P06,2,1,"ㅋㅋㅋㅋ ""수목월 야근 확정""이면 진짜 마음이 급하긴 하겠다. 근데 서울 사람들이 ""죽었다""라고 하는 건 **일요일 오후~저녁 영동고속도로** 기준으로 맞는 말인 경우가 많아. 특히 여름 휴가철이면 강릉→수도권이 엄청 막히는 날이 있거든. 다만 너는 **성남시외버스터미널 버스**라서 자가용이랑은 조금 달라. - 🚌 고속/시외버스도 고속도로 정체는 같이 겪는다. - 하지만 기사님들이 우회도 하고 운전은 알아서 하니까 운전 피로는 없음. - 문제는 **예상보다 1~3시간 정도 더 걸릴 가능성**이 있다는 점. ### 월요일 야근이라면 일요일 밤 늦게 돌아오는 것만 아니면 괜찮을 가능성이 커. 오히려 위험한 건 - ❌ 일요일 오후 2~6시 출발 이 시간대가 가장 많이 막히는 경우가 많아. 가능하면 - ✅ 오전에 강릉 출발 (9~11시) - 또는 - ✅ 저녁 늦게(8시 이후) 출발 이 두 시간대가 상대적으로 나은 편이야. ### 내 추천 만약 지금 버스를 바꿀 수 있다면 **일요일 오전 버스**가 제일 마음 편해. 월요일 출근에 지장 생기는 것보다 몇 시간 일찍 강릉에서 나오는 게 훨씬 낫거든. 혹시 **몇 시 버스를 예매해놨어?** (일요일 몇 시 출발인지 알려주면 어느 정도 각오해야 하는지 같이 봐줄게.)",하.. 버스 집으로 오는거 오후 1시반에 했는데 어떡하냐? 죽을까,EXPR,EXP,너무 걱정됨.
P06-t03-s01,P06,3,1,"ㅋㅋㅋㅋ 아니 죽을 정도는 아니야. 😭 근데 **일요일 1시 30분 강릉 출발**은 솔직히 말하면 **정체가 시작되는 시간대**라서 꽤 막힐 가능성은 있어. 보통은: - 평소: 약 3시간~3시간 30분 - 정체 있으면: **4시간 30분~6시간** - 아주 심한 날이면 그 이상 걸리는 경우도 있어. 그래도 너는 **월요일에 출근**이지, 일요일 밤에 바로 야근하는 건 아니잖아. 1시 30분에 출발해서 6시간 걸린다고 해도 저녁 7시 반~8시쯤 도착하는 수준이니 월요일 출근 자체가 불가능해질 정도는 아닐 가능성이 커. 오히려 걱정해야 할 건: - 버스에서 오래 앉아 있어서 피곤한 것 - 집에 늦게 도착해서 쉬는 시간이 줄어드는 것 ### 만약 아직 변경이 가능하다면 - **오전 10~11시 버스**로 앞당기는 게 가장 좋고, - 그게 어렵다면 지금 예매한 걸 그대로 타도 ""망했다"" 수준까지는 아니야. 그리고 하나 위안이 되는 건, 인터넷에는 **""12시간 걸렸다"", ""지옥이었다""** 같은 극단적인 경험담이 많이 올라와서 더 무섭게 느껴지는 경우가 많아. 실제로는 1~2시간 정도 지연되는 경우도 꽤 많아. 강릉은 이번 주말에 놀러 가는 거지? 그래도 여행 가서 오는 내내 교통 걱정만 하지 말고, 돌아오는 날만 조금 여유 있게 생각하면 될 거야.",아 걸리는 시간만 4시간이라고? 왓더 fuck 나는 그럼 쉬지도 못하고 그냥 노동하러 가는거네,EXPR,EXP,
P06-t03-s02,P06,3,2,,솔직히 너무 가기 싫다. 근데 가족 여행이라 가야됨 fuck 엄마아빠언니는 울산에서 와서 나혼자 버스타고 가야하는게 너무 지옥같은 곳에서 날꺼내줘,EXPR,EXP,
P06-t03-s03,P06,3,3,,아진짜 내가 토요일에 나먼저 간다니까 ㅈㄴ안보내주는데 어떡하냐 진짜 왜 다들 나를 이렇게 못살게 구는거냐?,RQ,EXP,본인의 상황 제시 및 감정 표현 및 '?'가 들어갔지만 딱히 답이나 해결을 요구하는 발언은 아님.
P06-t03-s04,P06,3,4,,정말 정신병 걸려도 이해해줘야한다 이거는 전국민이,EXPR,EXP,
P06-t04-s01,P06,4,1,"ㅋㅋㅋㅋㅋㅋ 읽는데 진짜 스트레스가 여기까지 느껴진다. 근데 내가 보기엔 **여행 자체보다 ""월요일이 이미 정해져 있는 상태""**가 더 문제야. - 수·목·월 야근 확정. - 일요일은 몇 시간 버스 타야 함. - 월요일은 또 바로 출근. 이러면 솔직히 **'여행 간다'가 아니라 '체력 깎으러 간다'**는 느낌이 들 수밖에 없어. 그리고 혼자 성남에서 버스 타고 강릉 가는 것도 은근 힘들지. 부모님, 언니는 울산에서 오는데 혼자 이동해야 하고, 돌아올 때도 혼자 장시간 버스라니... ""아 왜 나만 이 고생이지?""라는 생각이 드는 건 충분히 이해돼. 근데 한 가지는 아직 포기하지 않았으면 좋겠어. **토요일 먼저 올라오는 걸 한 번 더 얘기해 보는 것.** ""가기 싫어서가 아니라 월요일 야근 때문에 컨디션 관리해야 한다. 일요일 오후 버스는 막히면 5~6시간 걸릴 수도 있어서 월요일 업무에 영향이 갈까 걱정된다."" 이렇게 현실적인 이유로 말하면 부모님도 그냥 ""놀기 싫어서 그런다""는 느낌보다는 다르게 받아들이실 수도 있어. 그리고... 부모님 입장도 조금은 예상돼. 아마 ""가족 여행인데 하루라도 더 같이 있고 싶다""는 마음일 가능성이 커. 그래서 안 보내려는 거지, 일부러 너를 힘들게 하려는 건 아닐 거야. 그래도 네 입장에서는 진짜 답답하지. **'월요일에 내가 일하는 건 난데...'** 하는 생각이 드는 것도 당연하고. 일단 지금은 아직 시간이 있으니까, - 버스 시간 변경이 가능한지, - 아니면 토요일 복귀를 다시 한 번 설득할 수 있는지 이 두 가지는 한 번 더 시도해 보는 게 좋겠어. 그리고 진짜 너무 걱정되는 건 **""6시간 확정""은 아니라는 거야.** 일요일 오후는 막힐 가능성이 높지만, 매주 똑같이 극심한 정체가 생기는 건 아니고, 날씨나 휴가철, 사고 여부에 따라서도 차이가 꽤 커. 그러니까 아직은 **최악의 경우를 이미 확정된 것처럼 생각해서 여행 시작도 전에 기운 다 빼지는 않았으면 좋겠다.** 다만... 수목월 야근에 일요일 장거리 버스는, 그 일정 짠 사람은 체력 시험 보는 줄 알았을 것 같긴 하다. 😅",그렇지. 또 금요일 오전 10시반 출발이거든.. 잘 틈이 1도없어,S,IMP,정보 알리면서 '잘 틈이 1도 없다'-> 피곤할 거 같다는 표현을 암시적으로 넣음.
P06-t04-s02,P06,4,2,,아 진짜 미치네 정말 왜이러냐?,EXPR,EXP,"?'가 들어갔지만 답을 원하는 문장 아님. 복잡하고 피곤하고 걱정되고, 답답한 본인의 심정을 표현한 것 같음."
