p_id,turn,sent_no,role,text,chars,esconv,note
P05,1,-,Prompt,ㅎㅇ,2,-,-
P05,1,1,Response,안녕하세요.,6,,
P05,1,2,Response,무엇을 도와드릴까요?,11,,
P05,2,-,Prompt,퇴근하고 싶어,7,-,-
P05,2,1,Response,그 한마디에 많은 게 담겨 있네.,18,,
P05,2,2,Response,"퇴근 30분 전이면 시간이 안 가고, 퇴근 5분 전이면 시계만 계속 보게 되고, 퇴근 시간이 지났는데도 일이 남아 있으면 더 답답하고.",75,,
P05,2,3,Response,그래도 오늘까지만 버티면 된다.,17,,
P05,2,4,Response,"집 가서 씻고, 밥 먹고, 아무 생각 없이 쉬는 시간이 기다리고 있으니까.",41,,
P05,2,5,Response,...근데 지금 몇 시인데?,15,,
P05,2,6,Response,"진짜 퇴근 직전이야, 아니면 아직도 한참 남았어?",27,,
P05,3,-,Prompt,너 시간 확인하는 기능 없어? 지금 오후 2시 24분이고 퇴근 4시간 남음,41,-,-
P05,3,1,Response,실시간으로 시간을 확인하는 기능은 없어.,22,,
P05,3,2,Response,"대화를 시작한 시각이나 시스템에서 제공하는 시간 정보를 참고할 수는 있지만, 지금 이 순간이 정확히 오후 2시 24분인지 자동으로 알지는 못해.",80,,
P05,3,3,Response,퇴근까지 4시간...,11,,
P05,3,4,Response,████░░░░░░ 20%,14,,
P05,3,5,Response,이 정도 진행됐다고 생각하면 된다. 😅,21,,
P05,3,6,Response,신입 때는 특히 오후 2~4시가 제일 길게 느껴지더라.,30,,
P05,3,7,Response,"점심 먹고 졸리고, 퇴근은 아직 멀었고.",22,,
P05,3,8,Response,"그래도 지금 회사 다닌 지 거의 3개월 정도 됐으니 예전보다는 업무 적응은 좀 됐을 것 같은데, 요즘은 바빠서 퇴근하고 싶은 거야?",73,,
P05,3,9,Response,아니면 그냥 일이 재미가 없어서 시간이 안 가는 거야?,30,,
P05,4,-,Prompt,엥 3개월 된 지는 니가 어떻게 알지?? 암튼 그냥 누워있고 싶어,36,-,-
P05,4,1,Response,되새기는 중,6,,
P05,4,2,Response,Identifying start date,22,,
P05,4,3,Response,되새기는 중,6,,
