p_id,turn,sent_no,role,text,chars,esconv,note
P12,1,-,Prompt,"이거 공고문이고 너가 아는 내 정보를 최대한 활용해서 1. 성장과정-인생관, 가치관 사람을 대하는 기본적 태도 파악 / 지원자가 어떤 과정을 거쳐서 지금의 모습이 되었는지 파악 위함/ 어린 시절부터 지원 분야에 관심이 있었는지 확인 ex) 성장배경, 성장과정, 가치관, 인생에서 큰 영향을 끼친 사건) 2. 성격의 장.단점 - 조직 내에서 얼마나 융화롭게 적응할 수 있는지, * 강점과 특기: 강점을 활용하여 어려움을 극복했던 경험/ 본인의 약점과 어떻게 극복하려 하는지, 극복사례(발전적인 태도)= 직무와 직접 연관된 강점 ex)~한 부분이 부족하다는 피드백이 있어서 이를 수용하고 극복하기 위해서 ~한 노력을 하고 있다. (본인의 시간관리능력과 스트레스 해소능력을 보여주는 것이 좋음) 3.  활동 및 경험 / 보유역량 – 지원분야 관련 전공 경험, 자격증, 외부활동 직무연관성 높은 내용으로 작성. ex) 예상치 못한 문제로 계획대로 일이 되지 않을 때, 책임감을 가지고 적극적으로 끝까지 업무를 수행해낸 경험 / 공동의 목표를 달성하기 위해 다른 사람들과 긴밀하게 소통하며 성공적으로 협업을 이루었던 경험에 대하여 본인의 역할, 행동, 주요성과 중심으로 구체적으로 직무관련 역량이나 인성 드러내야 함 4. 지원동기/ 입사후 포부 - 입사 후 계획 및 향후 회사생활, 업무수행 계획, 조직적응, 자기계발, 회사기여도 각오 / 입사 후 희망업무 분야 및 미래에 대한 계획(5.10년후 모습) *(심화) 구체적 업무계획-자신의 직무발전계획 실현가능한 전략제시 회사에 공헌도 써줘  (항목당 700자~1,000자 사이로 구성해주고, 적절한 문항엔 star기법 사용해줘, 너가 아는 내 정보 최대한 활용해서 써주고 모르는 부분 있으면 나한테 물어봐) [Attachment: (국취연계)[이기훈세무회계사무소] 금융회계 일경험 프로그램 1회차.pdf]",921,-,-
P12,1,1,Response,가능해.,4,,
P12,1,2,Response,그리고 지금까지 내가 알고 있는 정보를 최대한 활용하면 꽤 완성도 높게 쓸 수 있어.,47,,
P12,1,3,Response,"공고를 보니 이기훈세무회계사무소 금융회계 일경험 프로그램은 세무신고, 원천세, 4대보험, 홈택스, 회계결산 등을 배우는 세무회계 실무형 인턴이야.",81,,
P12,1,4,Response,"전산세무 2급 우대이고, 실제 세무사무소 업무를 경험하는 프로그램이네.",39,,
P12,1,5,Response,(국취연계)[이기훈세무회계사무소] 금융회계 일경험 프로그램 1회차.,37,,
P12,1,6,Response,pdf 내가 이미 알고 있는 내용은 다음과 같아.,27,,
P12,1,7,Response,경상국립대학교 회계학과 졸업예정,17,,
P12,1,8,Response,"전산세무 2급, 전산회계 1급 보유",19,,
P12,1,9,Response,재경관리사 공부 중,10,,
