utterance_id,participant_id,turn_index,sentence_index,prev_assistant_turn,text,speech_act_coder2,emotion_surface_coder2,note
P18-t01-s01,P18,1,1,,[이미지],,,
P18-t01-s02,P18,1,2,,"이 사진들이 건축물의 피난·방화구조 등의 기준에 관한 규칙 제14조를 정면으로 위배하는 지, 아니면 다른 법도 같이 위반하는 지 아니면 뭣도 아닌 지 판단 후 법령 근거로 논리적으로 정리.",,,
P18-t02-s01,P18,2,1,"사진만으로 “위법 확정”까지 단정할 수는 없습니다. 다만 사진에 보이는 상태가 **방화구획(내화구조 벽·바닥·천장)을 관통하는 설비**라면, 현재 시공 상태는 **「건축물의 피난·방화구조 등의 기준에 관한 규칙」 제14조 위반 가능성이 매우 높다**고 보는 게 맞습니다. 핵심은 다음입니다. --- # 1. 사진에서 보이는 상태 사진에는 대략 다음이 보입니다. - 전선관·플렉시블 덕트·배관이 천장 또는 벽을 관통 - 관통부 주변 틈새가 그대로 노출 - 일부는 우레탄폼·검은 충전재 비슷한 것으로 임시 막음 - 관통부에 인증된 방화충전구조(방화패드·내화실란트·방화캡 등)가 확인되지 않음 - 케이블트레이/덕트 주변 개구부가 남아 있음 즉, 일반적인 “관통부 방화처리”가 제대로 된 상태로는 보이지 않습니다. --- # 2. 제14조와의 관계 - 왜 문제되는가 ## 직접 관련 조문 ### 「건축물의 피난·방화구조 등의 기준에 관한 규칙」 제14조 제2항 방화구획을 관통하는 배관·전선관·덕트 등으로 인해 생기는 틈은, 화재 시 연기·화염 확산을 막을 수 있는 구조로 메워야 한다는 취지입니다. (법령정보센터) 즉 법의 핵심은: > “방화구획에 구멍을 냈으면, 그 구멍도 원래 방화성능을 유지하도록 처리해야 한다” 입니다. --- # 3. 이 사진이 “정면 위반”으로 보이는 이유 사진상 문제는 단순 미관 문제가 아니라: - 방화벽/방화천장에 구멍을 냈고 - 그 틈이 그대로 남아 있거나 - 일반 충진재로만 메웠으며 - 인증된 방화충전시스템이 확인되지 않는 점 입니다. 건축 실무상 방화구획 관통부는 보통: - 내화충전재 - 방화실란트 - 방화패드 - 방화댐퍼 - KS/인정 받은 방화충전구조 등으로 처리해야 합니다. 그런데 사진은 적어도 외관상: - 단순 우레탄폼 - 임시 마감 - 개구부 노출 처럼 보여, 제14조가 요구하는 “방화구획의 성능 유지” 상태로 보기 어렵습니다. 따라서: > **해당 부위가 실제 방화구획이라면, 제14조 위반 소지가 상당히 크다** 고 판단됩니다. --- # 4. 그런데 “무조건 제14조 위반”이라고 단정은 어려운 이유 핵심 변수는 이것입니다. ## 그 천장·벽이 실제 “방화구획”인가? 제14조는 아무 벽/천장에 적용되는 게 아니라: - 방화구획으로 설계된 벽 - 내화구조 구획 - 세대간 경계 - 층간 구획 - 피난구획 등에 적용됩니다. 예를 들어: - 단순 경량 칸막이 - 비방화구획 천장 속 - 단순 설비공간 내부 라면 제14조 직접 위반은 아닐 수 있습니다. 즉: > “관통했다”만으로 위법이 아니라 > “방화구획을 관통했는가”가 핵심입니다. --- # 5. 제14조 외에 같이 문제될 수 있는 법령 ## (1) 건축법 시행령 제46조 방화구획 자체를 설치·유지해야 한다는 상위 규정입니다. (법령정보센터) 즉: - 방화구획을 훼손 - 성능 상실 - 관통부 미보강 이면 시행령 위반 문제도 연결됩니다. --- ## (2) 건축법 제49조 건축물의 방화·피난 안전 확보 의무의 근거 규정입니다. (법령정보센터) 실무에서는 제49조 → 시행령 제46조 → 규칙 제14조 구조로 이어집니다. --- ## (3) 소방시설법령 가능성 사진 속 덕트·배선이: - 제연설비 - 감지설비 - 방화댐퍼 연동 - 피난설비 와 관련된다면, 소방시설 공사기준 위반 문제도 추가될 수 있습니다. 다만 사진만으로는 여기까지는 확정 불가입니다. --- # 6. 가장 중요한 실무 판단 ## 결론적으로는 이렇게 정리됩니다 ### A. 저 부위가 “방화구획”이면 → 현재 사진 상태는: - 「건축물의 피난·방화구조 등의 기준에 관한 규칙」 제14조 - 건축법 시행령 제46조 위반 가능성이 매우 높음. 특히 관통부 방화충전 미시공 또는 부적정 시공 문제. --- ### B. 저 부위가 일반 천장/비방화 칸막이면 → 제14조 직접 위반은 아닐 수 있음. 다만: - 시공불량 - 유지관리 문제 - 결로·연기확산 위험 정도 문제로 남을 수 있음. --- # 7. 사진상 가장 의심되는 부분 특히 아래가 위험 신호입니다. - 관통부 주변 틈 노출 - 덕트 둘레 미충전 - 케이블트레이 끝단 개방 - 일반 우레탄폼 추정 재료 사용 - 방화댐퍼 부재로 보이는 덕트 관통 이건 실무 감리에서 자주 지적되는 유형입니다. --- # 최종 정리 현재 사진만 기준으로 가장 합리적인 법률적 평가는: > “해당 부위가 방화구획이라면, > 관통부 방화충전 미흡 상태로 보여 > 「건축물의 피난·방화구조 등의 기준에 관한 규칙」 제14조 및 건축법 시행령 제46조 위반 가능성이 높다.” 입니다. 반대로: > “방화구획인지 확인되지 않은 상태에서 단정적으로 ‘불법 확정’이라고 말하기는 어렵다.” 가 법적으로는 더 정확한 표현입니다. --- **Sources:** - 국가법령정보센터",동아리방 내부 사진임.,,,
P18-t02-s02,P18,2,2,,대부분의 동방이 저런 구조를 가지고 있음.,,,
P18-t02-s03,P18,2,3,,1-2-3층 전부,,,
P18-t03-s01,P18,3,1,"“동아리방 내부”라는 사실만으로는 아직 위법 확정은 아닙니다. 하지만 설명하신 구조가: - 1·2·3층 전체에 반복되고 - 천장 및 벽 관통부가 동일하게 개방되어 있으며 - 설비 관통부 방화처리가 전반적으로 보이지 않는다면 그건 단순 하자가 아니라 **건물 전체의 방화구획 체계 자체가 무너졌을 가능성**이 있습니다. 특히 대학 건물·학생회관·동아리 건물은 보통: - 층간 방화구획 - 복도-실 구획 - EPS/설비샤프트 구획 - 덕트·배관 관통부 방화충전 이 요구되는 경우가 많습니다. 따라서 “모든 층이 다 저렇다”는 건 오히려: > 개별 시공 실수보다 구조적·전반적 미시공 가능성 을 강하게 시사합니다. --- # 1. 사진 구조에서 가장 핵심 법적 포인트 사진의 본질은: > “내화 또는 방화 성능이 필요한 벽·천장을 설비가 관통했는데, > 그 틈을 적법한 방화충전구조로 막지 않은 것으로 보인다” 입니다. 이건 정확히 제14조가 겨냥하는 상황입니다. --- # 2. 왜 “동아리방”이 중요하냐 동아리방은 보통: - 다중 이용 - 전열기 사용 가능성 - 가연물 적치 - 야간 사용 - 무단 전기 사용 가능성 등으로 화재 위험이 낮지 않습니다. 그래서 건축법상 방화구획의 의미가 큽니다. 특히 화재 시 위험한 건 불꽃보다: - 연기 - 유독가스 - 천장 속 연소 확산 입니다. 사진처럼 천장 관통부가 열려 있으면: - 한 실 화재가 - 천장 속을 통해 - 다른 실·복도·상층으로 급속 확산될 수 있습니다. 즉 제14조는 미관 규정이 아니라 “수평·수직 화재확산 차단” 규정입니다. --- # 3. 사진상 법적으로 가장 문제되는 부분 ## (1) 덕트 관통부 개방 사진에 은박 덕트와 케이블트레이 주변 틈이 보입니다. 방화구획이라면 보통: - 방화댐퍼 - 내화충전재 - 인증 시스템 이 있어야 합니다. 없으면 제14조 취지 위반 가능성이 큽니다. --- ## (2) 전선관 주변 틈 전선관 하나만 지나가도: - 내화실란트 - 방화충전재 등으로 메워야 하는 경우가 많습니다. 사진은 빈 공간이 그대로 보입니다. --- ## (3) 케이블트레이 상부 개방 이건 화재 시 연기 통로 역할을 할 수 있습니다. 실무 감리에서 자주 지적됩니다. --- # 4. “전 층 동일”이면 왜 더 심각한가 이건 중요한 포인트입니다. 만약: - 특정 동아리방만 문제 → 개별 보수 가능성 그런데: - 1~3층 대부분 동일 → 설계/시공 단계 문제 가능성 입니다. 그 경우는: - 사용승인 당시 적정 시공 여부 - 감리 적정성 - 유지관리 부실 문제까지 연결될 수 있습니다. --- # 5. 다만 아직 확정할 수 없는 부분 법적으로 확정하려면 최소한 이것이 필요합니다. ## 확인 필요한 사항 - 그 벽/천장이 실제 방화구획인지 - 건축물 용도 - 층수 - 연면적 - 준공도면 - 설비도면 - 방화구획도 - 관통부 상세도 즉: > “방화구획이 아닌 일반 천장”이면 제14조 적용이 약해질 수 있습니다. 하지만 대학 건물에서 층간·복도·실 경계가 전부 비방화라는 경우는 흔치 않습니다. --- # 6. 현실적으로는 어떻게 판단되나 실무 감리·소방점검 관점에서는: 현재 사진 상태는 보통: - “관통부 방화처리 미흡” - “방화충전 불량” - “개구부 미폐쇄” 지적 대상으로 분류될 가능성이 큽니다. 즉 현실적으로는: > “아무 문제 없는 정상 시공” 으로 보기는 상당히 어렵습니다. --- # 7. 가장 법적으로 정확한 결론 현재 정보 기준 가장 보수적·정확한 평가는: > “사진상의 설비 관통부가 방화구획을 관통하는 부분이라면, > 관통부 방화충전이 적정하게 시공되지 않은 것으로 보여 > 「건축물의 피난·방화구조 등의 기준에 관한 규칙」 제14조 및 건축법 시행령 제46조 위반 가능성이 상당하다.” 입니다. 그리고: > “1~3층 다수 동아리방에서 동일하게 반복된다면, > 단순 하자보다 건물 전반의 방화구획 관리 문제일 가능성이 높다.” 까지는 충분히 논리적으로 말할 수 있습니다.",이걸로 공문을 써야돼 어떻게 쓰는 게 좋을까 좀 강력하게 쓰고 싶음,,,
P18-t04-s01,P18,4,1,"# 제목(예시) 동아리방 천장·벽체 관통부 방화구획 훼손 및 건축법령 위반 의심에 대한 긴급 점검·시정 요청 --- # 수신(예시) - ○○대학교 총장 - 시설관리처장 - 안전관리팀장 - 학생처장 (외부 제출이면 관할 구청 건축과·소방서 예방과 추가 가능) --- # 본문 예시 ## 1. 문제 제기 본인은 ○○건물 내 동아리방 시설 상태를 확인하던 중, 다수의 동아리방(1~3층 전반)에서 천장 및 벽체 설비 관통부가 적절한 방화처리 없이 개방되어 있는 정황을 확인하였습니다. 확인된 사항은 다음과 같습니다. - 전선관·덕트·배관 등이 천장 및 벽체를 관통 - 관통부 주변 틈새가 그대로 노출 - 일부는 임시 충전재 또는 일반 마감재로만 처리된 것으로 의심 - 방화충전구조 및 방화구획 유지 상태 확인 불가 - 동일 구조가 다수 동아리방 및 복수 층에서 반복 확인 이는 단순 미관 또는 마감 불량 차원을 넘어, 화재 시 연기·화염의 수평·수직 확산을 초래할 수 있는 중대한 안전 문제로 판단됩니다. --- ## 2. 관련 법령 ### 가. 건축법 제49조 건축물의 피난·방화 등 안전 확보 의무 규정 ### 나. 건축법 시행령 제46조 방화구획 설치 및 유지 의무 규정 ### 다. 「건축물의 피난·방화구조 등의 기준에 관한 규칙」 제14조 방화구획을 관통하는 배관·전선관·덕트 등의 관통부에 대하여 화재 및 연기의 확산을 방지할 수 있는 구조를 갖추도록 규정 --- ## 3. 위반 의심 사항 현재 확인되는 상태는 다음과 같은 사유로 관련 규정 위반 가능성이 매우 높다고 판단됩니다. 1. 방화구획 관통부의 개구부가 적절히 폐쇄되지 않은 정황 2. 인증된 방화충전구조 시공 여부 확인 불가 3. 덕트·전선관 주변 틈새 방치 4. 층간 및 실간 화재 확산 가능성 존재 5. 동일 문제가 건물 전반에 반복되는 점으로 미루어 부분 하자가 아닌 구조적 관리 부실 가능성 존재 특히 동아리방은 전열기 사용, 가연물 적치, 야간 사용 등이 빈번할 수 있어 화재 위험성이 결코 낮지 않으며, 화재 발생 시 천장 내부를 통한 급속한 연기 확산 우려가 큽니다. --- ## 4. 요청 사항 이에 다음 사항을 즉시 시행하여 주시기 바랍니다. 1. ○○건물 전체 동아리방 및 관련 구역에 대한 긴급 안전점검 실시 2. 방화구획 해당 여부 및 관통부 방화처리 적정성 전수조사 3. 방화충전구조 인증 여부 확인 4. 미시공·부적정 시공 구간 즉각 시정 5. 점검 결과 및 조치 계획 공개 6. 필요 시 외부 전문기관 및 소방·건축 관계기관 합동 점검 실시 --- ## 5. 결론 본 사안은 단순 시설 민원 수준이 아니라, 건축물 이용자의 생명·신체 안전과 직결되는 중대한 방화 안전 문제입니다. 특히 동일 문제가 다수 층 및 다수 실에서 반복적으로 확인되는 만큼, 학교 측은 이를 개별 하자가 아닌 건물 전체의 방화구획 관리 문제로 인식하고 신속하고 철저하게 대응해야 할 것입니다. 만일 적절한 점검 및 시정 조치가 이루어지지 않을 경우, 관할 행정기관 및 소방 관계기관에 추가적인 점검 및 조사를 요청할 예정임을 알려드립니다. --- # 강하게 쓰되 중요한 포인트 강한 공문은: - “불법이다!!” 보다 - “법령 위반 가능성이 높고 공공안전에 중대한 위해 우려가 있다” 가 더 효과적입니다. 왜냐하면: - 단정적 표현은 역으로 공격받기 쉽고 - “위반 가능성 + 안전위험 + 반복성 + 전수조사 필요” 구조가 행정적으로 훨씬 강합니다. 특히: > “구조적 관리 부실 가능성” 이 표현이 상당히 압박이 됩니다. 그리고 마지막의: > “관할 기관 점검 요청 예정” 도 실제로 매우 강한 문구입니다.",현황 및 문제점,,,
P18-t04-s02,P18,4,2,,현황: 동아리방 내부 천장에 각기 다른 크기의 개구부 발생,,,
P18-t04-s03,P18,4,3,,위치: 13호관 동아리방,,,
P18-t04-s04,P18,4,4,,문제점,,,
P18-t04-s05,P18,4,5,,1. 해충 및 유해 동물 유입 경로 노출,,,
P18-t04-s06,P18,4,6,,"외부 해충 유입: 배선 및 배관 관로 주변의 개구부가 외부 또는 천장 내부와 직접 연결되어 있어 지네, 바퀴벌레, 그리마 등 혐오 해충이 실내로 상시 유입됨.",,,
P18-t04-s07,P18,4,7,,설치류 침입 가능성: 파손 부위 및 이격 공간이 방치될 경우 쥐 등 설치류의 이동 통로로 활용될 수 있고 이는 동아리방 내 자산 파손 및 위생 사고로 직결됨.,,,
P18-t04-s08,P18,4,8,,2. 실내 위생 환경 악화,,,
P18-t04-s09,P18,4,9,,"분진 및 이물질 낙하: 천장 마감재와 배관 사이의 틈을 통해 천장 내부의 석고 가루, 미세먼지 등 유해물질이 지속적으로 낙하하여 실내 공기 질을 오염시킴.",,,
P18-t04-s10,P18,4,10,,알레르기 질환 유발: 유입된 해충 및 천장 내부의 먼지로 인해 동아리방 활동 도중 학생들의 호흡기 질환이나 피부 알레르기 발생 위험 증가.,,,
P18-t04-s11,P18,4,11,,3. 시설 관리 부실로 인한 2차 피해 발생,,,
